zip	lat	lon	state	county	city
43272	39.96035	-83.00566	OH	Franklin	Columbus
43279	39.96610	-83.02545	OH	Franklin	Columbus
43287	39.96142	-82.99939	OH	Franklin	Columbus
43291	39.97660	-82.85683	OH	Franklin	Columbus
43301	40.56569	-83.12487	OH	Marion	Marion
43302	40.59995	-83.12967	OH	Marion	Marion
43310	40.53460	-83.78029	OH	Hardin	Belle Center
43311	40.36427	-83.75812	OH	Logan	Bellefontaine
43314	40.64740	-82.96122	OH	Marion	Caledonia
43315	40.48410	-82.87872	OH	Morrow	Cardington
43316	40.95184	-83.38596	OH	Wyandot	Carey
43317	40.47748	-82.68202	OH	Morrow	Chesterville
43318	40.30948	-83.91378	OH	Logan	De Graff
43319	40.30525	-83.57738	OH	Logan	East Liberty
43320	40.58860	-82.89994	OH	Morrow	Edison
43321	40.46300	-82.82889	OH	Morrow	Fulton
43322	40.53270	-83.20815	OH	Marion	Green Camp
43323	40.73116	-83.25211	OH	Wyandot	Harpster
43324	40.44632	-83.81207	OH	Logan	Huntsville
43325	40.66939	-82.83102	OH	Morrow	Iberia
43326	40.64149	-83.61443	OH	Hardin	Kenton
43330	40.81349	-83.41935	OH	Wyandot	Kirby
43331	40.51794	-83.91910	OH	Logan	Lakeview
43332	40.58369	-83.37769	OH	Marion	La Rue
43333	40.43927	-83.93221	OH	Logan	Lewistown
43334	40.39912	-82.79863	OH	Morrow	Marengo
43335	40.66365	-82.91045	OH	Marion	Martel
43336	40.28337	-83.57651	OH	Logan	Middleburg
43337	40.68336	-83.24107	OH	Marion	Morral
43338	40.56207	-82.75958	OH	Morrow	Mount Gilead
43340	40.53748	-83.48000	OH	Hardin	Mount Victory
43341	40.59577	-83.31544	OH	Marion	New Bloomington
43342	40.47533	-83.17994	OH	Marion	Prospect
43343	40.30730	-83.97647	OH	Logan	Quincy
43344	40.43219	-83.33832	OH	Union	Richwood
43345	40.51341	-83.58167	OH	Logan	Ridgeway
43346	40.57680	-83.84518	OH	Hardin	Roundhead
43347	40.47771	-83.65804	OH	Logan	Rushsylvania
43348	40.46754	-83.88857	OH	Logan	Russells Point
43349	40.61868	-82.66598	OH	Morrow	Shauck
43350	40.39557	-82.69977	OH	Morrow	Sparta
43351	40.82501	-83.30424	OH	Wyandot	Upper Sandusky
43356	40.45748	-83.04788	OH	Marion	Waldo
43357	40.25316	-83.74711	OH	Logan	West Liberty
43358	40.41898	-83.53129	OH	Union	West Mansfield
43359	40.86977	-83.45319	OH	Wyandot	Wharton
43360	40.33272	-83.63114	OH	Logan	Zanesfield
43402	41.40957	-83.65389	OH	Wood	Bowling Green
43403	41.37784	-83.63653	OH	Wood	Bowling Green
43406	41.33605	-83.43720	OH	Wood	Bradner
43407	41.27717	-83.24994	OH	Sandusky	Burgoon
43408	41.57179	-83.36352	OH	Ottawa	Clay Center
43410	41.30792	-82.95807	OH	Sandusky	Clyde
43412	41.62933	-83.31961	OH	Lucas	Curtice
43413	41.24205	-83.65476	OH	Wood	Cygnet
43414	41.45165	-83.61724	OH	Wood	Dunbridge
43416	41.48532	-83.27055	OH	Ottawa	Elmore
43420	41.35749	-83.11265	OH	Sandusky	Fremont
43430	41.52380	-83.37329	OH	Ottawa	Genoa
43431	41.38998	-83.33964	OH	Sandusky	Gibsonburg
43432	41.56115	-83.24934	OH	Ottawa	Graytown
43433	41.50463	-82.88033	OH	Ottawa	Gypsum
43434	41.69319	-83.44474	OH	Lucas	Harbor View
43435	41.32634	-83.31197	OH	Sandusky	Helena
43436	41.71522	-82.82098	OH	Ottawa	Isle Saint George
43437	41.25396	-83.60176	OH	Wood	Jerry City
43438	41.60343	-82.70268	OH	Erie	Kelleys Island
43439	41.51758	-83.04275	OH	Ottawa	Lacarne
43440	41.52662	-82.78145	OH	Ottawa	Lakeside Marblehead
43441	41.49804	-83.47193	OH	Wood	Lemoyne
43442	41.42911	-83.21496	OH	Sandusky	Lindsey
43443	41.46099	-83.46906	OH	Wood	Luckey
43445	41.58644	-83.29488	OH	Ottawa	Martin
43446	41.68483	-82.80863	OH	Ottawa	Middle Bass
43447	41.56654	-83.43429	OH	Wood	Millbury
43449	41.53570	-83.14151	OH	Ottawa	Oak Harbor
43450	41.40013	-83.49324	OH	Wood	Pemberville
43451	41.31551	-83.61614	OH	Wood	Portage
43452	41.51568	-82.96522	OH	Ottawa	Port Clinton
43456	41.64934	-82.82497	OH	Ottawa	Put In Bay
43457	41.26788	-83.42508	OH	Wood	Risingsun
43458	41.53105	-83.21258	OH	Ottawa	Rocky Ridge
43460	41.60392	-83.56328	OH	Wood	Rossford
43462	41.28352	-83.71887	OH	Wood	Rudolph
43463	41.51141	-83.50511	OH	Wood	Stony Ridge
43464	41.40318	-82.93116	OH	Sandusky	Vickery
43465	41.56593	-83.50489	OH	Wood	Walbridge
43466	41.29234	-83.51394	OH	Wood	Wayne
43467	41.24328	-83.49098	OH	Wood	West Millgrove
43468	41.59974	-83.34661	OH	Ottawa	Williston
43469	41.45947	-83.36474	OH	Sandusky	Woodville
43501	41.66966	-84.46095	OH	Williams	Alvordton
43502	41.53181	-84.30201	OH	Fulton	Archbold
43504	41.69736	-83.83690	OH	Lucas	Berkey
43505	41.52429	-84.73101	OH	Williams	Blakeslee
43506	41.46739	-84.55704	OH	Williams	Bryan
43510	41.46484	-83.94712	OH	Henry	Colton
43511	41.26384	-83.82376	OH	Wood	Custar
43512	41.30309	-84.35874	OH	Defiance	Defiance
43515	41.58656	-84.00746	OH	Fulton	Delta
43516	41.21579	-83.91081	OH	Henry	Deshler
43517	41.44003	-84.72833	OH	Williams	Edgerton
43518	41.58977	-84.75385	OH	Williams	Edon
43519	41.42092	-84.40854	OH	Defiance	Evansport
43520	41.38008	-84.63565	OH	Defiance	Farmer
43521	41.66377	-84.29717	OH	Fulton	Fayette
43522	41.42058	-83.84352	OH	Wood	Grand Rapids
43523	41.33875	-83.99865	OH	Henry	Grelton
43524	41.22839	-84.03900	OH	Henry	Hamler
43525	41.46663	-83.70098	OH	Wood	Haskins
43526	41.31339	-84.73024	OH	Defiance	Hicksville
43527	41.25121	-84.15930	OH	Henry	Holgate
43528	41.62908	-83.74923	OH	Lucas	Holland
43529	41.18998	-83.78431	OH	Wood	Hoytville
43530	41.32794	-84.28933	OH	Defiance	Jewell
43531	41.63511	-84.49570	OH	Williams	Kunkle
43532	41.45486	-83.97008	OH	Henry	Liberty Center
43533	41.69335	-84.07997	OH	Fulton	Lyons
43534	41.35446	-83.92914	OH	Henry	McClure
43535	41.30592	-84.02416	OH	Henry	Malinta
43536	41.31345	-84.63400	OH	Defiance	Mark Center
43537	41.57433	-83.68542	OH	Lucas	Maumee
43540	41.69545	-83.94300	OH	Fulton	Metamora
43541	41.30075	-83.82953	OH	Wood	Milton Center
43542	41.56642	-83.76531	OH	Lucas	Monclova
43543	41.60575	-84.63380	OH	Williams	Montpelier
43545	41.39163	-84.12719	OH	Henry	Napoleon
43547	41.49214	-83.87634	OH	Lucas	Neapolis
43548	41.18867	-84.17296	OH	Henry	New Bavaria
43549	41.37519	-84.51818	OH	Defiance	Ney
43550	41.39221	-84.12302	OH	Henry	Okolona
43551	41.52095	-83.57503	OH	Wood	Perrysburg
43552	41.55391	-83.62606	OH	Wood	Perrysburg
43553	41.53096	-84.22382	OH	Fulton	Pettisville
43554	41.66024	-84.56239	OH	Williams	Pioneer
43555	41.43772	-84.25596	OH	Henry	Ridgeville Corners
43556	41.30575	-84.56984	OH	Defiance	Sherwood
43557	41.48354	-84.39693	OH	Williams	Stryker
43558	41.59350	-83.87810	OH	Fulton	Swanton
43560	41.70067	-83.73799	OH	Lucas	Sylvania
43565	41.42044	-83.74011	OH	Wood	Tontogany
43566	41.49467	-83.75838	OH	Lucas	Waterville
43567	41.57592	-84.15248	OH	Fulton	Wauseon
43569	41.35130	-83.78844	OH	Wood	Weston
43570	41.58616	-84.44116	OH	Williams	West Unity
43571	41.51574	-83.81796	OH	Lucas	Whitehouse
43601	41.64729	-83.54763	OH	Lucas	Toledo
43603	41.65807	-83.52738	OH	Lucas	Toledo
43604	41.65217	-83.53977	OH	Lucas	Toledo
43605	41.64734	-83.50722	OH	Lucas	Toledo
43606	41.67178	-83.61085	OH	Lucas	Toledo
43607	41.64761	-83.60582	OH	Lucas	Toledo
43608	41.68008	-83.53062	OH	Lucas	Toledo
43609	41.62849	-83.57824	OH	Lucas	Toledo
43610	41.67775	-83.56140	OH	Lucas	Toledo
43611	41.70241	-83.49154	OH	Lucas	Toledo
43612	41.70946	-83.54899	OH	Lucas	Toledo
43613	41.70628	-83.60374	OH	Lucas	Toledo
43614	41.60336	-83.62715	OH	Lucas	Toledo
43615	41.65045	-83.67255	OH	Lucas	Toledo
43616	41.65727	-83.40931	OH	Lucas	Oregon
43617	41.66416	-83.72808	OH	Lucas	Toledo
43619	41.60424	-83.47348	OH	Wood	Northwood
43620	41.66519	-83.55470	OH	Lucas	Toledo
43623	41.70419	-83.65095	OH	Lucas	Toledo
43635	41.65254	-83.67132	OH	Lucas	Toledo
43652	41.65097	-83.53648	OH	Lucas	Toledo
43654	41.60596	-83.53700	OH	Wood	Toledo
43656	41.70475	-83.65080	OH	Lucas	Toledo
43657	41.67683	-83.56178	OH	Lucas	Toledo
43659	41.64925	-83.53679	OH	Lucas	Toledo
43660	41.63895	-83.54468	OH	Lucas	Toledo
43661	41.65288	-83.60469	OH	Lucas	Toledo
43666	41.65445	-83.53039	OH	Lucas	Toledo
43667	41.65089	-83.53523	OH	Lucas	Toledo
43681	41.64221	-83.54216	OH	Lucas	Toledo
43682	41.64259	-83.54400	OH	Lucas	Toledo
43697	41.64478	-83.54344	OH	Lucas	Toledo
43699	41.63106	-83.61875	OH	Lucas	Toledo
43701	39.95986	-81.99498	OH	Muskingum	Zanesville
43702	39.94082	-82.00679	OH	Muskingum	Zanesville
43711	39.84262	-81.57738	OH	Noble	Ava
43713	39.98979	-81.17368	OH	Belmont	Barnesville
43716	39.83683	-81.00752	OH	Monroe	Beallsville
43717	39.78943	-81.55480	OH	Noble	Belle Valley
43718	40.00926	-81.00596	OH	Belmont	Belmont
43719	39.98907	-81.07938	OH	Belmont	Bethesda
43720	39.79272	-81.86886	OH	Muskingum	Blue Rock
43721	39.94927	-82.26015	OH	Licking	Brownsville
43722	39.91933	-81.52001	OH	Guernsey	Buffalo
43723	39.96022	-81.54120	OH	Guernsey	Byesville
43724	39.73267	-81.51660	OH	Noble	Caldwell
43725	40.03949	-81.59934	OH	Guernsey	Cambridge
43727	39.87140	-81.79884	OH	Muskingum	Chandlersville
43728	39.49188	-81.89676	OH	Morgan	Chesterhill
43730	39.62940	-82.09435	OH	Perry	Corning
43731	39.72768	-82.06750	OH	Perry	Crooksville
43732	39.84409	-81.65883	OH	Guernsey	Cumberland
43733	39.92736	-81.53807	OH	Guernsey	Derwent
43734	39.88144	-81.90489	OH	Muskingum	Duncan Falls
43735	39.85437	-82.11917	OH	Muskingum	East Fultonham
43736	40.05755	-81.23689	OH	Guernsey	Fairview
43738	39.85540	-82.14063	OH	Muskingum	Fultonham
43739	39.90693	-82.29025	OH	Perry	Glenford
43740	39.95150	-82.21706	OH	Licking	Gratiot
43746	39.97146	-82.17287	OH	Muskingum	Hopewell
43747	39.85784	-81.12128	OH	Belmont	Jerusalem
43748	39.69788	-82.30899	OH	Perry	Junction City
43749	40.15932	-81.56411	OH	Guernsey	Kimbolton
43750	39.99353	-81.50975	OH	Guernsey	Kipling
43752	39.71601	-81.01310	OH	Monroe	Laings
43754	39.75586	-81.24017	OH	Monroe	Lewisville
43755	40.05370	-81.43318	OH	Guernsey	Lore City
43756	39.68993	-81.79574	OH	Morgan	Mcconnelsville
43757	39.85623	-81.14677	OH	Monroe	Malaga
43758	39.62482	-81.94320	OH	Morgan	Malta
43759	40.06393	-81.06942	OH	Belmont	Morristown
43760	39.88580	-82.19577	OH	Perry	Mount Perry
43761	39.66829	-82.14798	OH	Perry	Moxahala
43762	40.03156	-81.74007	OH	Muskingum	New Concord
43764	39.71485	-82.19239	OH	Perry	New Lexington
43766	39.59492	-82.25010	OH	Perry	New Straitsville
43767	40.00653	-81.80198	OH	Muskingum	Norwich
43768	40.03776	-81.44477	OH	Guernsey	Old Washington
43771	39.83586	-81.94135	OH	Muskingum	Philo
43772	39.88063	-81.52448	OH	Noble	Pleasant City
43773	39.98758	-81.29636	OH	Guernsey	Quaker City
43777	39.81896	-82.08543	OH	Muskingum	Roseville
43778	40.01111	-81.37001	OH	Guernsey	Salesville
43779	39.81718	-81.42528	OH	Noble	Sarahsville
43780	39.92229	-81.44024	OH	Guernsey	Senecaville
43782	39.62129	-82.21850	OH	Perry	Shawnee
43783	39.80389	-82.28878	OH	Perry	Somerset
43786	39.71086	-81.27704	OH	Monroe	Stafford
43787	39.53292	-81.80554	OH	Morgan	Stockport
43788	39.80175	-81.33340	OH	Noble	Summerfield
43791	39.87757	-82.08877	OH	Muskingum	White Cottage
43793	39.74362	-81.10219	OH	Monroe	Woodsfield
43802	40.09346	-81.85687	OH	Muskingum	Adamsville
43803	40.35531	-81.64397	OH	Coshocton	Bakersville
43804	40.45450	-81.73704	OH	Holmes	Baltic
43805	40.39177	-81.97223	OH	Coshocton	Blissfield
43811	40.18285	-81.93232	OH	Coshocton	Conesville
43812	40.27268	-81.88347	OH	Coshocton	Coshocton
43821	40.13559	-82.00695	OH	Muskingum	Dresden
43822	40.17409	-82.16958	OH	Muskingum	Frazeysburg
43824	40.36407	-81.76116	OH	Coshocton	Fresno
43828	40.34169	-81.86570	OH	Coshocton	Keene
43830	40.06116	-82.14812	OH	Muskingum	Nashport
43832	40.27333	-81.57931	OH	Tuscarawas	Newcomerstown
43836	40.20870	-81.71854	OH	Coshocton	Plainfield
43837	40.29773	-81.47846	OH	Tuscarawas	Port Washington
43840	40.40511	-81.60025	OH	Tuscarawas	Stone Creek
43842	40.13749	-82.01182	OH	Muskingum	Trinway
43843	40.33485	-82.17711	OH	Coshocton	Walhonding
